Product Code,Name,Description,Small Image,Large Image,Catalogue,Sale Price,Retail Price,Tax Code,SEO friendly URL,Grouping Product Codes,Grouping Product Descriptions,Supplier CRM ID,Supplier Commission Percentage,Weighting/Order,Related Products,Weight In KG/Pounds,Product Width (Previously Volume),Keywords,Unit Type,Min Units,Max Units,In Stock,On Order,Re-order Threshold,Inventory Control,Can Pre-Order,Custom 1,Custom 2,Custom 3,Custom 4,Poplets,Enabled,Capture Details,Limit Download Count,Limit Download IP,On Sale,Hide if Out of Stock,Attributes,Gift Voucher,Drop Shipping,Product Height,Product Depth,Exclude From Search Results,Product Title,Wholesale Sale Price,Tax Code,Cycle Type,Cycle Type Count,Product URL,Product Affiliate URL,Variations Enabled,Variations Code,Variation Options,Role Responsible,Product Meta Description
S-MT_0001,Abram,"<p>In the Old Testament, Abram is ordained by God as the lineage father of all of God&rsquo;s body of chosen people, Israel. He is blessed, sent on a journey to a Promised Land and later receives the name Abraham, &ldquo;father of many nations.&rdquo;</p><p>This form loosely reflects: at its top, Abram&rsquo;s faithfully singular focus of mind, further down, the dispersion of his lineage to descendants of many nations, and from mid-section to base, the challenges endured and overcome through his life&rsquo;s steadfast journey. </p><div class=""quote""><p>The LORD had said to Abram, ""Leave your country, your people and your father's household and go to the land I will show you.""<br />",/images/art/portfolio/small/S-MT_0001_a.jpg,/images/art/portfolio/large/S-MT_0001_a.jpg,/Art/Sculpture/;/Art/Sculpture/Metal/;/Art/;,US/10000.00;,US/10000.00;,,abram,,,,,9004,,38.25,10,,sculpture,,3,1,0,,N,N,"bronze, polished &amp; nickel plated",8.5 x 10 x 21,38.25,2010,/images/art/portfolio/large/S-MT_0001_a.jpg;/images/art/portfolio/large/S-MT_0001_b.jpg;/images/art/portfolio/large/S-MT_0001_c.jpg;/images/art/portfolio/large/S-MT_0001_d.jpg;/images/art/portfolio/large/S-MT_0001_e.jpg;/images/art/portfolio/large/S-MT_0001_f.jpg;/images/art/portfolio/large/S-MT_0001_g.jpg;/images/art/portfolio/large/S-MT_0001_h.jpg;,Y,N,,,N,N,,N,N,21,8.5,N,Abram,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/abram,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041588&ObjectType=27,N,,,,
S-MM_0001,Adesuwa,"<p>Meaning: In the midst of prosperity.<br />
Origin: Benin Kingdom, Nigeria.</p>
<div class=""quote"">
<p>""Make it work.""</p>
<span class=""att"">- Mom. Various dates</span></div>",/images/art/portfolio/small/S-MM_0001_a.jpg,/images/art/portfolio/large/S-MM_0001_a.jpg,/Art/Sculpture/;/Art/Sculpture/Mixed Media/;/Art/;,US/3000.00;,US/3000.00;,,adesuwa,,,,,8002,,26.2,9,,sculpture,,1,1,0,,Y,N,"plaster, clay, metal, wood, wax, found objects, acrylic paint, resin",9 x 13.5 x 22,26.2,2011,/images/art/portfolio/large/S-MM_0001_a.jpg;/images/art/portfolio/large/S-MM_0001_b.jpg;/images/art/portfolio/large/S-MM_0001_c.jpg;/images/art/portfolio/large/S-MM_0001_d.jpg;/images/art/portfolio/large/S-MM_0001_e.jpg;/images/art/portfolio/large/S-MM_0001_f.jpg;/images/art/portfolio/large/S-MM_0001_g.jpg;/images/art/portfolio/large/S-MM_0001_h.jpg;/images/art/portfolio/large/S-MM_0001_i.jpg;,Y,N,,,N,N,,N,N,22,13.5,N,Adesuwa,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/adesuwa,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041584&ObjectType=27,N,,,,
S-CR_0014,Akintoye,"<p>Meaning: Strength is enough title.<br />Origin: Yuroba tribe, Nigeria.</p>",/images/art/portfolio/small/S-CR_0014_a.jpg,/images/art/portfolio/large/S-CR_0014_a.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/2000.00;,US/2000.00;,,akintoye,,,,,7004,,15.4,18.5,,sculpture,,1,1,0,,Y,N,"stoneware, anagama fired",7 x 18.5 x 13.5,15.4,2011,/images/art/portfolio/large/S-CR_0014_a.jpg;/images/art/portfolio/large/S-CR_0014_b.jpg;/images/art/portfolio/large/S-CR_0014_c.jpg;/images/art/portfolio/large/S-CR_0014_d.jpg;/images/art/portfolio/large/S-CR_0014_e.jpg;/images/art/portfolio/large/S-CR_0014_f.jpg;/images/art/portfolio/large/S-CR_0014_g.jpg;/images/art/portfolio/large/S-CR_0014_h.jpg;,Y,N,,,N,N,,N,N,13.5,7,N,Akintoye,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/akintoye,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041570&ObjectType=27,N,,,,
S-CR_0016,Ayomide,"<p>Meaning: My joy has arrived<br />Origin: Yuroba tribe, Nigeria.</p>",/images/art/portfolio/small/S-CR_0016_h.jpg,/images/art/portfolio/large/S-CR_0016_h.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/2000.00;,US/2000.00;,,ayomide,,,,,7004,,13.2,15.5,,sculpture,,1,0,0,,Y,N,"stoneware, anagama fired",9 x 15.5 x 17,13.2,2011,/images/art/portfolio/large/S-CR_0016_a.jpg;/images/art/portfolio/large/S-CR_0016_b.jpg;/images/art/portfolio/large/S-CR_0016_c.jpg;/images/art/portfolio/large/S-CR_0016_f.jpg;/images/art/portfolio/large/S-CR_0016_h.jpg;/images/art/portfolio/large/S-CR_0016_i.jpg;/images/art/portfolio/large/S-CR_0016_j.jpg;/images/art/portfolio/large/S-CR_0016_k.jpg;,Y,N,,,N,N,,N,N,17,9,N,Ayomide,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/ayomide,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041572&ObjectType=27,N,,,,
S-MT_0005,Barabbas,"<p>Barabbas was an insurgent hostile to Roman occupation in Israel during the time of Christ. He was an imprisoned murderer, condemned within the Roman court and ostracized in society. When Christ was brought for judgment as an alleged political and religious dissenter before governor, Pontius Pilate, the observed festival custom of freeing a prisoner was then carried out in Barabbas&rsquo; favor rather than for Christ, under the pressed petition of his accusers. The guilty man was freed and Jesus, innocently accused though making no defense, was crucified.</p>
<p>Barabbas represents the fallen and brazen rebellion of humanity against God, destined to eternal condemnation. His acquittal captures the pivotal transcendence of grace in the gospel: while in transgression as enemies to God, his people were eternally forgiven, freed from judgement and reunited to him through the severely complete penalty of judgment and separation&nbsp;substitutionally&nbsp;embraced by his entirely sinless and righteous son, Jesus Christ. Christ's paid death and following resurrection has imbued to God&rsquo;s people the perfect image of Christ before God and the eternal place as heirs to his heavenly kingdom.</p>
<p>The form of this piece abstracts the aggressive hostility and rebelliousness in the character of Barabbas. The polished and plated surface partially reflects the viewer and symbolizes the overlaid righteousness of Christ.</p>",/images/art/portfolio/small/S-MT_0005_a.jpg,/images/art/portfolio/large/S-MT_0005_a.jpg,/Art/Sculpture/;/Art/Sculpture/Metal/;/Art/;,US/18000.00;,US/18000.00;,,barabbas,,,,,9005,,85,,product,sculpture,,1,1,0,,Y,N,"bronze, polished &amp; laser gold plated",22 x 10 x 23,75,2012,/images/art/portfolio/large/S-MT_0005_a.jpg;/images/art/portfolio/large/S-MT_0005_c.jpg;/images/art/portfolio/large/S-MT_0005_f.jpg;/images/art/portfolio/large/S-MT_0005_h.jpg;/images/art/portfolio/large/S-MT_0005_j.jpg;/images/art/portfolio/large/S-MT_0005_l.jpg;/images/art/portfolio/large/S-MT_0005_n.jpg;/images/art/portfolio/large/S-MT_0005_r.jpg;/images/art/portfolio/large/S-MT_0005_t.jpg;/images/art/portfolio/large/S-MT_0005_y.jpg;,Y,N,,,N,N,,N,N,22,10,N,Barabbas,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/barabbas,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5073771&ObjectType=27,N,,,,
S-MM_0004,Baraka,"<p><a href=""http://en.wikipedia.org/wiki/Baraka"" target=""_blank"">Baraka</a> means ""blessing"" in Hebrew, Arabic and Arabic-influenced languages. </p>
<p class=""quote"">...If we could tell the truth all the time, If we could be with our need to be loved ones and tell the truth, learning not just from books, learning from our bloodline, all would be harmony. Learning from justice, learning from work, learning from constancy, learning from love. If we could tell the truth all the time a terrible pressure would be on the world. It'd have to change if we changed so...
</p>
<p>
- Selection from <a href=""http://media.sas.upenn.edu/pennsound/authors/Baraka/Baraka-Amiri_Pressure-2-Gro_11-12-75_The-World-Record_1981.mp3"" target=""_blank"">""Pressure to Grow""</a> by Amiri Baraka (LeRoi Jones)
</p>",/images/art/portfolio/small/S-MM_0004_a.jpg,/images/art/portfolio/large/S-MM_0004_a.jpg,/Art/Sculpture/;/Art/Sculpture/Mixed Media/;/Art/;,US/3000.00;,US/3000.00;,,baraka,,,,,8003,,,,,sculpture,,1,1,0,,Y,N,"plaster, ceramic, found objects, acrylic, wax.",23 x 20 x 16.5,23.2,2012,/images/art/portfolio/large/S-MM_0004_a.jpg;/images/art/portfolio/large/S-MM_0004_b.jpg;/images/art/portfolio/large/S-MM_0004_c.jpg;/images/art/portfolio/large/S-MM_0004_d.jpg;/images/art/portfolio/large/S-MM_0004_e.jpg;/images/art/portfolio/large/S-MM_0004_f.jpg;/images/art/portfolio/large/S-MM_0004_g.jpg;/images/art/portfolio/large/S-MM_0004_h.jpg;,Y,N,,,N,N,,N,N,,,N,Baraka,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/baraka,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041587&ObjectType=27,N,,,,
V-SC_0002,Bilbao,,/images/art/portfolio/small/V-SC_0002-1_2_a.jpg,/images/art/portfolio/large/V-SC_0002-1_2_a.jpg,/Art/Vessels/;/Art/Vessels/Slipcast/;/Art/;,US/450.00;,US/450.00;,,cloud,,,,,5003,,4.15,,,vessel,,,0,0,,Y,N,"porcelain, slip-cast, saggar-fired",large vase -7x7x17 <br/> smaller vase -7x6x15,3,2006,/images/art/portfolio/large/V-SC_0002-1_2_a.jpg;/images/art/portfolio/large/V-SC_0002-1_2_b.jpg;/images/art/portfolio/large/V-SC_0002-2_2_a.jpg;/images/art/portfolio/large/V-SC_0002-2_2_b.jpg;,Y,N,,,N,N,,N,N,,,N,Bilbao,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/cloud,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041605&ObjectType=27,N,,,,
S-CR_0010,Billie,"<div class=""quote""><p>There's two kinds of blues, there's happy blues and there's sad blues. The blues is sort of a mixed up thing, you just have to feel it.</p><span class=""att"">- Billie Holiday</span></div>",/images/art/portfolio/small/S-CR_0010_a.jpg,/images/art/portfolio/large/S-CR_0010_a.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/600.00;,US/600.00;,,billie,,,,,7001,,5.25,9,,sculpture,,1,1,0,,Y,N,terra-cotta,8 x 9 x 9,5.2,2004,/images/art/portfolio/large/S-CR_0010_a.jpg;/images/art/portfolio/large/S-CR_0010_b.jpg;/images/art/portfolio/large/S-CR_0010_c.jpg;,Y,N,,,N,N,,N,N,9,8,N,Billie,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/billie,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041566&ObjectType=27,N,,,,
S-MT_0004,David,"<p>David, an ancestor of Jesus Christ, was the second King anointed through the prophet Samuel to oversee Judah and all Israel. He came to his reign tensely under service of the then denounced first king, Saul, who, in fear of being usurped, continuously sought to take David&rsquo;s life. A skilled warrior, David&rsquo;s life was marked by warfare and victory, tragedy and praise. In his intimate devotion to God he was known as a man after God&rsquo;s own heart.</p><p>The stature of the piece reflects David&rsquo;s masculinity and strength. The deepened cracks and inflamed sheared edges reflect his fearless mettle on the battlefield and yet vulnerably broken humanity, while the more elegant curvatures and sinuous planes embody his confident tact as a strategist, diplomat and man of bold faith. The overall energetically outward gestures of the piece capture David&rsquo;s earnest dependence and need for the presence, provision, leadership and love of God in his life.</p>{module_adrotator,8359}<ul class=""specs sub""><li>production: <a href=""http://www.excaliburbronzeny.com/"" target=""_blank"">Excalibur Sculpture Foundry</a></li><li>photography: <a href=""http://www.joegarrad.com"" target=""_blank"">Joe Garrad</a></li></ul>",/images/art/portfolio/small/S-MT_0004_a.jpg,/images/art/portfolio/large/S-MT_0004_a.jpg,/Art/Sculpture/;/Art/Sculpture/Metal/;/Art/;,US/8000.00;,US/8000.00;,,david,,,,,9003,,29.5,9,,sculpture,,3,1,0,,Y,N,"bronze, polished &amp; nickel plated",5 x 11 x 18,29.5,2010,/images/art/portfolio/large/S-MT_0004_a.jpg;/images/art/portfolio/large/S-MT_0004_b.jpg;/images/art/portfolio/large/S-MT_0004_c.jpg;/images/art/portfolio/large/S-MT_0004_d.jpg;/images/art/portfolio/large/S-MT_0004_e.jpg;/images/art/portfolio/large/S-MT_0004_f.jpg;/images/art/portfolio/large/S-MT_0004_g.jpg;/images/art/portfolio/large/S-MT_0004_h.jpg;/images/art/portfolio/large/S-MT_0004_i.jpg;,Y,N,,,N,N,,N,N,17,6,N,David,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/david,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041591&ObjectType=27,N,,,,
V-PT_0014,Deborah,,/images/art/portfolio/small/V-PT_0014_a.jpg,/images/art/portfolio/large/V-PT_0014_a.jpg,/Art/Vessels/;/Art/Vessels/Pottery/;/Art/;,US/500.00;,US/500.00;,,deborah,,,,,6002,,4.75,6,,vessel,,1,0,0,,Y,N,"porcelain, wheel-thrown &amp; slip-trailed, glazed",6 x 6 x 15.5,4.5,2006,/images/art/portfolio/large/V-PT_0014_a.jpg;/images/art/portfolio/large/V-PT_0014_b.jpg;/images/art/portfolio/large/V-PT_0014_c.jpg;,Y,N,,,N,Y,,N,N,15.5,6,N,Deborah,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/deborah,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041592&ObjectType=27,N,,,,
V-PT_0015,Duke,,/images/art/portfolio/small/V-PT_0015_a.jpg,/images/art/portfolio/large/V-PT_0015_a.jpg,/Art/Vessels/;/Art/Vessels/Pottery/;/Art/;,US/500.00;,US/500.00;,,duke,,,,,6002,,4,6,,vessel,,1,0,0,,Y,N,"porcelain, wheel-thrown &amp; slip-trailed, burnished",6 x 6 x 13.5,4.5,2006,/images/art/portfolio/large/V-PT_0015_a.jpg;/images/art/portfolio/large/V-PT_0015_b.jpg;,Y,N,,,N,Y,,N,N,13.5,6,N,Duke,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/duke,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041593&ObjectType=27,N,,,,
V-PT_0017,Emperor,,/images/art/portfolio/small/V-PT_0017_a.jpg,/images/art/portfolio/large/V-PT_0017_a.jpg,/Art/Vessels/;/Art/Vessels/Pottery/;/Art/;,US/500.00;,US/500.00;,,emperor,,,,,6001,,4.8,6.5,,vessel,,1,1,0,,N,N,"porcelain, wheel-thrown & slip-trailed, glazed",6.5 x 6.5 x 11.5,4.8,2006,/images/art/portfolio/large/V-PT_0017_a.jpg;/images/art/portfolio/large/V-PT_0017_b.jpg;,Y,N,,,N,N,,N,N,11.5,6.5,N,Emperor,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/emperor,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041594&ObjectType=27,N,,,,
V-SC_0001,Etude,,/images/art/portfolio/small/V-SC_0001_2_a.jpg,/images/art/portfolio/large/V-SC_0001_2_a.jpg,/Art/Vessels/;/Art/Vessels/Slipcast/;/Art/;,US/250.00;,US/250.00;,,etude,,,,,5003,,2.5,6,,vessel,,,1,0,,Y,N,"porcelain, slip-cast",6 x 6 x 15.5,1.5,2005,/images/art/portfolio/large/V-SC_0001_2_a.jpg;/images/art/portfolio/large/V-SC_0001_2_b.jpg;,Y,N,,,N,N,,N,N,15.5,6,N,Etude,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/etude,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041604&ObjectType=27,N,,,,
S-CR_0013,Ezra,"<div class=""quote""><p>With usura, sin against nature,<br />is thy bread ever more of stale rags<br />is thy bread dry as paper,<br />with no mountain wheat, no strong flour...</p><span class=""att"">Canto XLV - With Usura(excerpt)<br />- Ezra Pound</span></div>",/images/art/portfolio/small/S-CR_0013_a.jpg,/images/art/portfolio/large/S-CR_0013_a.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/600.00;,US/600.00;,,ezra,,,,,7002,,8.2,7,,sculpture,,1,1,0,,Y,N,"terra-cotta, acrylic surface",5 x 7 x 8,8,2006,/images/art/portfolio/large/S-CR_0013_a.jpg;/images/art/portfolio/large/S-CR_0013_b.jpg;,Y,N,,,N,N,,N,N,8,5,N,Ezra,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/ezra,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041569&ObjectType=27,N,,,,
V-SC_0005,Fuji,,/images/art/portfolio/small/V-SC_0005_2_a.jpg,/images/art/portfolio/large/V-SC_0005_2_a.jpg,/Art/Vessels/;/Art/Vessels/Slipcast/;/Art/;,US/350.00;,US/350.00;,,fuji,,,,,5003,,3,12,,vessel,,,1,0,,Y,N,"porcelain, slip-cast",7 x 12 x 16.53,,2006,/images/art/portfolio/large/V-SC_0005_2_a.jpg;/images/art/portfolio/large/V-SC_0005_2_b.jpg;,Y,N,,,N,N,,N,N,16.5,7,N,Fuji,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/fuji,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041608&ObjectType=27,N,,,,
S-CR_0011,Hughes,"<div class=""quote""><p>I've known rivers ancient as the world and older than the flow of human blood in human veins. My soul has grown deep like the rivers.</p><span class=""att"">The Negro Speaks of Rivers (excerpt) - Langston Hughes</span></div>",/images/art/portfolio/small/S-CR_0011_a.jpg,/images/art/portfolio/large/S-CR_0011_a.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/900.00;,US/900.00;,,hughes,,,,,7001,,16.5,16,,sculpture,,1,1,0,,Y,N,terra-cotta,13 x 16 x 16,16.5,2004,/images/art/portfolio/large/S-CR_0011_a.jpg;/images/art/portfolio/large/S-CR_0011_b.jpg;,Y,N,,,N,N,,N,N,16,13,N,Hughes,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/hughes,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041567&ObjectType=27,N,,,,
S-CR_0012,Jehoakim,,/images/art/portfolio/small/S-CR_0012_a.jpg,/images/art/portfolio/large/S-CR_0012_a.jpg,/Art/Sculpture/;/Art/Sculpture/Ceramics/;/Art/;,US/600.00;,US/600.00;,,jehoakim,,,,,7002,,10,7,,sculpture,,1,1,0,,Y,N,"terra-cotta, acrylic surface",5 x 7 x 9,10,2006,/images/art/portfolio/large/S-CR_0012_a.jpg;/images/art/portfolio/large/S-CR_0012_b.jpg;,Y,N,,,N,N,,N,N,9,5,N,Jehoakim,US/0.00;,,1,,http://baralaye.worldsecuresystems.com/art/jehoakim,http://baralaye.worldsecuresystems.com/AP.aspx?ID=PUT_AFFILIATEPROGRAMID_HERE&EID=PUT_AFFILIATECRMID_HERE&ObjectID=5041568&ObjectType=27,N,,,,
